oid,message,committedDate,additions,deletions,changedFiles,login
72105c0556e6572c510e7919f4ebf5d7af1c34bd,Remove dsstore,2024-10-29T02:32:32Z,0,0,1,ryanpearlman1
6bca4a0ed77a193f0cfd6c6fbe45a10d0fbefb60,add mid semester update,2024-10-29T02:30:21Z,21,0,2,ryanpearlman1
14819b2028300bd1928d4afa787039a753dc8460,"Merge pull request #2 from jrfrye2/initial-project-proposal-feedback

Proposal Feedback",2024-10-03T18:32:35Z,15,0,1,ryanpearlman1
889dd9912e0c4e7e608e53854afd88cb61795943,Update README.md to include Henry,2024-09-24T18:26:13Z,1,1,1,ryanpearlman1
6f2225476b40172d9967d6276061bccdc04bef65,fix proposal folder,2024-09-24T18:22:34Z,17,0,4,ryanpearlman1
d9d8089883a69c680064cea33a1c4c56aeedf9ff,"Merge pull request #1 from CultureAsData-UIUC/adding-project-management-workflow

Added project management workflow issue template",2024-09-10T19:41:40Z,41,0,2,ryanpearlman1
922897c7417f17d0b7b1abbbd7e3499de74b2d81,project manager submssion,2024-10-15T15:55:14Z,0,0,1,averyWebster
6de7ce369d553be9fb10124cda668c1654ac124d,README license,2024-10-15T01:06:14Z,13,0,1,lhayedimarucut
9459a702146813c5a63d6efa1d7b2166401dd676,Data Reflection,2024-10-15T00:57:04Z,4,0,1,lhayedimarucut
fe9472657130866a59418dda460d7bddae4dd47d,Data reflection,2024-10-15T00:53:21Z,28,0,2,lhayedimarucut
aa1d7069fd919def573b5e6c01f26d8c89c2beff,properity platform,2024-10-15T00:21:44Z,26,0,5,lhayedimarucut
0ebd36a3e9270aa338a03058711208b3797a356f,Proposal Feedback,2024-10-02T20:16:50Z,15,0,1,averyWebster
e333e2a006172e598b3fbba4eda7ff2dae96ad13,Add files via upload,2024-09-24T05:00:40Z,0,0,1,Rebe-Rod
a9b97bb27688c5927dd965ac432f245d6826c186,Add files via upload,2024-09-24T04:58:26Z,58,0,1,Rebe-Rod
0423de47e17f43947338d1cf13af3b328b7fe1b8,Add files via upload,2024-09-24T04:51:11Z,95,0,1,Rebe-Rod
